Jahr,Rubrik,Energietraeger,TJ
"1980,""Bruttoverbrauch"",""Elektrizität"",-29450"
"1980,""Bruttoverbrauch"",""Erdölprodukte"",321250"
"1980,""Bruttoverbrauch"",""Fernwärme"",0"
"1980,""Bruttoverbrauch"",""Gas"",36280"
"1980,""Bruttoverbrauch"",""Holzenergie"",26280"
"1980,""Bruttoverbrauch"",""Kernbrennstoffe"",149050"
"1980,""Bruttoverbrauch"",""Kohle"",14300"
"1980,""Bruttoverbrauch"",""Müll und Industrieabfälle"",10100"
"1980,""Bruttoverbrauch"",""Rohöl"",191970"
"1980,""Bruttoverbrauch"",""Uebrige erneuerbare Energien"","
"1980,""Bruttoverbrauch"",""Wasserkraft"",120750"
"1980,""Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen"",""Elektrizität"",-17020"
"1980,""Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen"",""Erdölprodukte"",-8330"
"1980,""Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen"",""Fernwärme"",-1000"
"1980,""Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen"",""Gas"",-2270"
"1980,""Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen"",""Holzenergie"","
"1980,""Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen"",""Kernbrennstoffe"","
"1980,""Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen"",""Kohle"","
"1980,""Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen"",""Müll und Industrieabfälle"","
"1980,""Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen"",""Rohöl"","
"1980,""Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen"",""Uebrige erneuerbare Energien"","
"1980,""Eigenverbrauch des Energiesektors, Netzverluste, Verbrauch der Speicherungen"",""Wasserkraft"","
"1980,""Endverbrauch - Dienstleistungen"",""Elektrizität"",32560"
"1980,""Endverbrauch - Dienstleistungen"",""Erdölprodukte"",74860"
"1980,""Endverbrauch - Dienstleistungen"",""Fernwärme"",4620"
"1980,""Endverbrauch - Dienstleistungen"",""Gas"",4660"
"1980,""Endverbrauch - Dienstleistungen"",""Holzenergie"",960"
"1980,""Endverbrauch - Dienstleistungen"",""Kernbrennstoffe"","
"1980,""Endverbrauch - Dienstleistungen"",""Kohle"",40"
"1980,""Endverbrauch - Dienstleistungen"",""Müll und Industrieabfälle"",0"
"1980,""Endverbrauch - Dienstleistungen"",""Rohöl"","
"1980,""Endverbrauch - Dienstleistungen"",""Uebrige erneuerbare Energien"","
"1980,""Endverbrauch - Dienstleistungen"",""Wasserkraft"","
"1980,""Endverbrauch - Haushalte"",""Elektrizität"",36270"
"1980,""Endverbrauch - Haushalte"",""Erdölprodukte"",164890"
"1980,""Endverbrauch - Haushalte"",""Fernwärme"",2160"
"1980,""Endverbrauch - Haushalte"",""Gas"",11370"
"1980,""Endverbrauch - Haushalte"",""Holzenergie"",23910"
"1980,""Endverbrauch - Haushalte"",""Kernbrennstoffe"","
"1980,""Endverbrauch - Haushalte"",""Kohle"",3710"
"1980,""Endverbrauch - Haushalte"",""Müll und Industrieabfälle"",0"
"1980,""Endverbrauch - Haushalte"",""Rohöl"","
"1980,""Endverbrauch - Haushalte"",""Uebrige erneuerbare Energien"","
"1980,""Endverbrauch - Haushalte"",""Wasserkraft"","
"1980,""Endverbrauch - Industrie"",""Elektrizität"",48670"
"1980,""Endverbrauch - Industrie"",""Erdölprodukte"",67020"
"1980,""Endverbrauch - Industrie"",""Fernwärme"",1140"
"1980,""Endverbrauch - Industrie"",""Gas"",12380"
"1980,""Endverbrauch - Industrie"",""Holzenergie"",1410"
"1980,""Endverbrauch - Industrie"",""Kernbrennstoffe"","
"1980,""Endverbrauch - Industrie"",""Kohle"",9880"
"1980,""Endverbrauch - Industrie"",""Müll und Industrieabfälle"",3700"
"1980,""Endverbrauch - Industrie"",""Rohöl"","
"1980,""Endverbrauch - Industrie"",""Uebrige erneuerbare Energien"","
"1980,""Endverbrauch - Industrie"",""Wasserkraft"","
